Government_Regulations.animal_product_efficiency_policy,0.249,
Government_Regulations.biofuels_CO2e_emissions_tax_reduction_share,1,
Government_Regulations.biofuels_SO2_emissions_tax_reduction_share,1,
Government_Regulations.concrete_infrastructure_maintenance_policy,1,
Government_Regulations.concrete_residential_and_service_maintenance_policy,1,
Government_Regulations.forestation_policy,0,
Government_Regulations.inflation_goal_policy,0.02,
Government_Regulations.irrigation_efficiency_multiplier,1,
Government_Regulations.irrigation_fraction_policy,0.242,
Government_Regulations.Moratorium_on_fossil_energy_year,2130,
Government_Regulations.non_agricultural_water_use_policy,166000000,
Government_Regulations.rate_of_decommissioning_coal_fossil_fuel_extraction_capital,0,
Government_Regulations.rate_of_decommissioning_gas_fossil_fuel_extraction_capital,0,
Government_Regulations.rate_of_decommissioning_oil_fossil_fuel_extraction_capital,0,
Government_Regulations.share_of_biofuel_emissions_stored,0,
Government_Regulations.share_of_coal_emissions_stored,0,
Government_Regulations.share_of_gas_emissions_stored,0,
Government_Regulations.share_of_oil_emissions_stored,0,
Government_Regulations.switch_animal_product_efficiency_policy,0,
Government_Regulations.switch_irrigation_fraction_policy,0,
Government_Regulations.switch_non_agricultural_water_use_policy,0,
Government_Regulations.tax_on_CO2e_emissions,0,
Government_Regulations.tax_on_SO2_emissions,0,
Government_Regulations.unemployment_goal_policy,0.05,
Behavioral_Choices.animal_products_fraction_policy,0.23,
Behavioral_Choices.aquatic_animal_products_fraction_policy,0.078,
Behavioral_Choices.food_demand_policy,2254,
Behavioral_Choices.per_person_use_of_energy_policy,7.4,
Behavioral_Choices.switch_animal_products_fraction_policy,0,
Behavioral_Choices.switch_aquatic_animal_products_fraction_policy,0,
Behavioral_Choices.switch_energy_demand_policy,0,
Behavioral_Choices.switch_food_demand_policy,0,
Government_Regulations.wage_tax_rate_policy,0.1935,
Government_Regulations.profit_tax_rate_policy,0.332,
Government_Regulations.switch_tax_policy,0,
Government_Regulations.time_to_implement_tax_policy,5,
Government_Regulations.tax_policy_start_year,2025,
Government_Regulations.government_debt_to_GDP_ratio_target,1.2,
Government_Regulations.minimum_percentage_of_taxes_spent_by_government,0.9,
Government_Regulations.tax_rate_on_newly_installed_bio_energy_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_coal_energy_production_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_coal_extraction_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_gas_energy_production_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_gas_extraction_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_hydropower_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_nuclear_energy_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_oil_energy_production_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_oil_extraction_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_other_energy_capacity,0,
Government_Regulations.tax_rate_on_newly_installed_solar_and_wind_energy_capacity,0,
Government_Regulations.wealth_tax_policy,0,
Government_Regulations.Residential_and_Service_buildings_longevity_policy,1,
Government_Regulations.Infrastructure_buildings_longevity_policy,1,
Government_Regulations.additional_transfers_policy,0,
Government_Regulations.No_SLR_adaptation_strategy,1,
Government_Regulations.Protection_as_SLR_adaptation_strategy,0,
Government_Regulations.Retreat_as_SLR_adaptation_strategy,0,